,focal,partner,reaction,class,flux
294,1334,793,EX_ser__L_e,received,1.3397485301154694e-06
295,1334,793,EX_skm_e,received,1.5583233098589701e-06
296,1334,793,EX_so3_e,co-consumed,5.754062384838462e-06
297,1334,793,EX_so4_e,co-consumed,0.0009876483667281117
298,1334,793,EX_stfrnA_e,received,0.0001223307572704
299,1334,793,EX_stfrnB_e,received,0.00012422783244163461
300,1334,793,EX_trp__L_e,received,1.3837473001847079e-06
301,1334,793,EX_ttdcea_e,received,1.4530052905179238e-06
302,1334,793,EX_ura_e,co-consumed,0.07374024676714237
303,1334,793,EX_val__L_e,co-consumed,8.510756318326924e-06
304,1334,793,EX_zn2_e,co-consumed,7.765966115021923e-05
305,1334,946,EX_3amp_e,provided,1.3333851391987232e-06
306,1334,946,EX_5drib_e,co-consumed,1.523362132101233e-06
307,1334,946,EX_acac_e,received,1.2192532470303192e-06
308,1334,946,EX_acald_e,provided,1.6520561723e-05
309,1334,946,EX_acgam_e,received,1.0032184843990636e-06
310,1334,946,EX_alltn_e,co-consumed,1.9125645002735964e-06
311,1334,946,EX_arg__L_e,co-consumed,0.06826385266551879
312,1334,946,EX_asp__L_e,received,1.0883476326808682e-06
313,1334,946,EX_bz_e,co-consumed,2.2202114533069232e-05
314,1334,946,EX_ca2_e,co-consumed,0.0012012220939511
315,1334,946,EX_cellb_e,provided,2.1503990932701516e-06
316,1334,946,EX_cgly_e,provided,0.00022672658975973078
317,1334,946,EX_cit_e,co-consumed,0.12296789132777373
318,1334,946,EX_cl_e,co-consumed,0.0012012221395426115
319,1334,946,EX_cobalt2_e,co-consumed,2.307823480048077e-05
320,1334,946,EX_crn_e,co-consumed,1.0742355263878697e-06
321,1334,946,EX_csn_e,co-consumed,1.991975205975697e-06
322,1334,946,EX_cu2_e,co-consumed,0.0001636246847355
323,1334,946,EX_cys__L_e,received,1.1674702799187403e-06
324,1334,946,EX_fe2_e,co-consumed,0.0012446682203394385
325,1334,946,EX_fe3_e,co-consumed,0.0001775160016819923
326,1334,946,EX_fe3pyovd_kt_e,provided,8.09823370339346e-05
327,1334,946,EX_fru_e,co-consumed,1.998439181506923e-05
328,1334,946,EX_fum_e,co-consumed,4.977173221942308e-06
329,1334,946,EX_glc__D_e,co-consumed,6.245775941846154e-06
330,1334,946,EX_glu__L_e,co-consumed,0.00022892142321423846
331,1334,946,EX_gly_asn__L_e,co-consumed,0.05041316542276079
332,1334,946,EX_glyc_e,provided,0.5514242555197184
333,1334,946,EX_glygln_e,co-consumed,0.2070006542017255
334,1334,946,EX_gthrd_e,received,0.00022577948509826923
335,1334,946,EX_h2o2_e,provided,4.059224988565385e-06
336,1334,946,EX_h2o_e,received,3.8461387824371216
337,1334,946,EX_h2s_e,co-consumed,0.04300003054758521
338,1334,946,EX_h_e,co-consumed,1.0167945260993354
339,1334,946,EX_hexs_e,received,1.1299912140344587e-06
340,1334,946,EX_his__L_e,received,1.566199591274318e-06
341,1334,946,EX_ile__L_e,co-consumed,3.5981613529945235e-06
342,1334,946,EX_istfrnA_e,provided,8.356181014307694e-05
343,1334,946,EX_istfrnB_e,provided,8.534417800006923e-05
344,1334,946,EX_k_e,co-consumed,0.045047098854105926
345,1334,946,EX_lnlc_e,received,2.7734712888657695e-05
346,1334,946,EX_lys__L_e,provided,5.253611150896154e-06
347,1334,946,EX_malt_e,co-consumed,0.00046322841495095006
348,1334,946,EX_meoh_e,provided,7.763166075511538e-06
349,1334,946,EX_mg2_e,co-consumed,0.00200203686590275
350,1334,946,EX_mn2_e,co-consumed,0.0001594706024713308
351,1334,946,EX_mnl_e,co-consumed,1.7110478494714406e-06
352,1334,946,EX_nh4_e,provided,0.6214669539634867
353,1334,946,EX_no2_e,received,0.00011021439337829616
354,1334,946,EX_no3_e,provided,9.949526197805001e-05
355,1334,946,EX_no_e,received,4.79548574903077e-06
